id,name,code,description,element,itemcategory,periodicity
2055,Maize (Quantity of Imported Seeds),,,117,5,Yearly
2054,Wheat (Quantity of Imported Seeds),,,117,5,Yearly
2053,Tomato (Quantity of Imported Seeds),,,117,5,Yearly
2052,Barley (Quantity of Imported Seeds),,,117,5,Yearly
2051,Sunflower (Quantity of Imported Seeds),,,117,5,Yearly
2050,Carrot (Quantity of Imported Seeds),,,117,5,Yearly
2049,Cucumber (Quantity of Imported Seeds),,,117,5,Yearly
2048,Watermelon (Quantity of Imported Seeds),,,117,5,Yearly
2047,Pepper (Quantity of Imported Seeds),,,117,5,Yearly
2046,Bulb Onion (Quantity of Imported Seeds),,,117,5,Yearly
2045,Okra (Quantity of Imported Seeds),,,117,5,Yearly
2044,Avocado (Production Value),,,,,
2043,Mango (Production Value),,,119,5,Yearly
2042,Garden Peas (Production Value),,,119,5,Yearly
2041,African Birds Eye (Production Value),,,119,5,Yearly
2040,African Birds Eye (Crop Area),,,1,5,Yearly
2039,African Birds Eye (Production Quantity),,,2,5,Yearly
2037,Garden Peas (Crop Area),,,1,5,Yearly
2036,Garden Peas (Yield),,,3,5,Yearly
2035,Garden Peas (Production Quantity),,,2,5,Yearly
2034,Pearl Millet (Yield),,,3,5,Yearly
2033,Pearl Millet (Production Quantity),,,2,5,Yearly
2032,Pearl Millet (Crop Area),,,1,5,Yearly
2031,Processed Tea,,,112,5,Yearly
2030,Sugar,,,112,5,Yearly
2029,West Cane Deliveries,,,118,5,Yearly
2028,Transmara Cane Deliveries,,,118,5,Yearly
2027,Sukari Cane Deliveries,,,118,5,Yearly
2026,South Cane Deliveries,,,118,5,Yearly
2025,Soin Cane Deliveries,,,118,5,Yearly
2024,Olepito Cane Deliveries,,,118,5,Yearly
2023,Nzoia Cane Deliveries,,,118,5,Yearly
2022,Mumias Cane Deliveries,,,118,5,Yearly
2021,Muhoroni Cane Deliveries,,,118,5,Yearly
2020,Kwale Cane Deliveries,,,118,5,Yearly
2019,Kibos Cane Deliveries,,,118,5,Yearly
